restaurant_id,name,lat,lng,zone_id,zone_name
R-0104,Casa Lolo,18.5169498,73.8339362,0,Hinjewadi
R-0105,Mainland China,18.5314274,73.8293605,0,Hinjewadi
R-0106,Natraj,18.5020727,73.8562922,0,Hinjewadi
R-0107,Eatsome,18.5032321,73.8216498,3,Viman Nagar
R-0108,Samarath Hotel,18.50746,73.8083522,3,Viman Nagar
R-0109,Royal Only Chicken,18.5103419,73.8164334,3,Viman Nagar
R-0110,Marrakesh,18.5244163,73.8415682,0,Hinjewadi
R-0111,Sukanta,18.5169481,73.844257,0,Hinjewadi
R-0112,Yana Sizzlers,18.5279415,73.84293,0,Hinjewadi
R-0113,Hotel Nimbalkar,18.4997954,73.8222785,3,Viman Nagar
R-0114,Asian Melange,18.5014463,73.8142232,3,Viman Nagar
R-0115,Marrakesh,18.5096072,73.9281761,2,Kothrud
R-0116,Chennai Express,18.5093984,73.9281865,2,Kothrud
R-0117,Barbeque Nation,18.5524942,73.899794,2,Kothrud
R-0118,Sumitra,18.5039234,73.8211374,3,Viman Nagar
R-0119,Zanbaqq,18.510171,73.8159984,3,Viman Nagar
R-0120,Samadhan,18.5157746,73.8564341,0,Hinjewadi
R-0121,Saffron,18.5077877,73.8443855,0,Hinjewadi
R-0122,Chillies,18.5346916,73.9120424,2,Kothrud
R-0123,Sharao Lawns,18.5122671,73.8133078,3,Viman Nagar
R-0124,Crunchy and Crispy,18.484884,73.8161061,3,Viman Nagar
R-0125,Salt and Pepper,18.5081847,73.8503517,0,Hinjewadi
R-0126,Woodlands,18.5080934,73.83466,0,Hinjewadi
R-0127,Sveekar,18.5064157,73.832361,0,Hinjewadi
R-0128,Brahma Garden,18.4737902,73.8221562,5,Kharadi
R-0129,Banyan Tree,18.4921268,73.8290703,3,Viman Nagar
R-0130,Girija Matoshree,18.4900082,73.8270307,3,Viman Nagar
R-0131,Agatya,18.514425,73.8542899,0,Hinjewadi
R-0132,Mad House Grill,18.536566,73.8991446,2,Kothrud
R-0133,Samudra,18.5079009,73.8315753,0,Hinjewadi
R-0134,Aavees,18.5103191,73.8340451,0,Hinjewadi
R-0135,Kobe Sizzlers,18.5148321,73.8289305,0,Hinjewadi
R-0136,Niranjan,18.5260651,73.8419578,0,Hinjewadi
R-0137,Saffron,18.5440853,73.7898446,1,Baner
R-0138,Wadeshwar,18.5149005,73.8286396,0,Hinjewadi
R-0139,Chandani Garden Restaurant and Bar,18.4642879,73.8190082,5,Kharadi
R-0140,Aditya Pure Veg.,18.5098818,73.8340488,0,Hinjewadi
R-0141,Aditya Pure Veg.,18.5098831,73.8340316,0,Hinjewadi
R-0142,Durga Restaurant and Bar,18.4990512,73.8508435,0,Hinjewadi
R-0143,Classic Rock Coffee Co.,18.549017,73.9063415,2,Kothrud
R-0144,Sumadhu Veg Restaurant,18.4896771,73.832051,3,Viman Nagar
R-0145,Purab,18.5150062,73.8425613,0,Hinjewadi
R-0146,Deccan Corner,18.5163515,73.8423676,0,Hinjewadi
R-0147,Mia Cuccina,18.5377222,73.8989649,2,Kothrud
R-0148,Toscano Pune Koregaon Park,18.5329864,73.8968166,2,Kothrud
R-0149,Naivedyam,18.4973177,73.8539536,0,Hinjewadi
R-0150,Namaskaar,18.5440037,73.7820129,1,Baner
R-0151,Olivinos,18.4804056,73.9315331,4,Wakad
R-0152,Rude Lounge,18.5618317,73.9180056,2,Kothrud
R-0153,Abhiruchi Terrace Restaurant,18.4627353,73.8164543,5,Kharadi
R-0154,مطعم العرب,18.4759896,73.8917034,4,Wakad
R-0155,Majghar,18.5103602,73.8157272,3,Viman Nagar
R-0156,The Sassy Spoon Pune,18.5339401,73.8987288,2,Kothrud
R-0157,Surya Veg/Non Veg,18.5040052,73.83098,0,Hinjewadi
R-0158,Restaurant 158,18.5107655,73.8298483,0,Hinjewadi
R-0159,उपहारगृह,18.5471692,73.8320871,1,Baner
R-0160,One O Eight,18.5370853,73.8987605,2,Kothrud
R-0161,Joy Foods,18.5332739,73.8872318,2,Kothrud
R-0162,NH37 DHABA,18.5387183,73.8343717,0,Hinjewadi
R-0163,Pizza Hut,18.5031187,73.821688,3,Viman Nagar
R-0164,Jayesh A1 Sandwichs,18.5035906,73.8204939,3,Viman Nagar
R-0165,Restaurant 165,18.5273657,73.8731681,2,Kothrud
R-0166,Restaurant 166,18.5272704,73.8731116,2,Kothrud
R-0167,Supreme Corner,18.520535,73.8460261,0,Hinjewadi
R-0168,Satwik Thali,18.5090306,73.8490554,0,Hinjewadi
R-0169,Sudit Su's Chinese Restaurant,18.4951699,73.812367,3,Viman Nagar
R-0170,Shiv Sagar,18.5602279,73.8056378,1,Baner
R-0171,Restaurant 171,18.4734049,73.8911582,4,Wakad
R-0172,Reddy's Biryani Zone,18.5882951,73.7846923,1,Baner
R-0173,Durga Restaurant,18.588175,73.7840419,1,Baner
R-0174,Restaurant 174,18.5388706,73.8990838,2,Kothrud
R-0175,Smiley House,18.5623639,73.8296726,1,Baner
R-0176,Aalok,18.5253926,73.8532647,0,Hinjewadi
R-0177,Global Punjab,18.4596266,73.7858652,5,Kharadi
R-0178,Akshat Hotel,18.5882192,73.7837338,1,Baner
R-0179,Reddy's Biryani Zone,18.5884132,73.7846268,1,Baner
R-0180,Radha Krushna,18.4588958,73.7868026,5,Kharadi
R-0181,Green Field Garden,18.4577197,73.8046959,5,Kharadi
R-0182,Hotel Relax Family Garden Resto Bar,18.4566671,73.8008696,5,Kharadi
R-0183,Scagegoat,18.5476138,73.7911434,1,Baner
R-0184,Manisha Bhel,18.4930403,73.8257982,3,Viman Nagar
R-0185,Potoba,18.4921774,73.8252641,3,Viman Nagar
R-0186,my daBBa,18.4922771,73.8239542,3,Viman Nagar
R-0187,Mayur Pavbhaji,18.492924,73.8251172,3,Viman Nagar
R-0188,Paprika,18.4982663,73.8265123,3,Viman Nagar
R-0189,La Gustosa,18.5019711,73.8147421,3,Viman Nagar
R-0190,Ashirvad,18.5019488,73.8140226,3,Viman Nagar
R-0191,Samartha Pav Bhaji And Juice Cetner,18.4936388,73.8252581,3,Viman Nagar
R-0192,Kollage,18.5145117,73.8283664,0,Hinjewadi
R-0193,Kalinga,18.5050437,73.8320678,0,Hinjewadi
R-0194,Suryama,18.5180228,73.8362521,0,Hinjewadi
R-0195,SP's Biryani,18.5083286,73.8502975,0,Hinjewadi
R-0196,Darja Misal,18.509449,73.846814,0,Hinjewadi
R-0197,New Apoorwai,18.5142459,73.8461682,0,Hinjewadi
R-0198,Shri Niyanand Bhuvan,18.5127211,73.8585547,0,Hinjewadi
R-0199,Anand Pav Bhaji,18.4907367,73.8230134,3,Viman Nagar
R-0200,Sanman,18.490578,73.8233399,3,Viman Nagar
R-0201,Aapulaki,18.4907109,73.8229752,3,Viman Nagar
R-0202,Food Junction,18.4907421,73.8229778,3,Viman Nagar
R-0203,Tsaai Sshen Yeh,18.5518496,73.7932214,1,Baner
R-0204,Greedy Man's Pizzeria,18.5523455,73.7938323,1,Baner
R-0205,Origin Bistro,18.5521287,73.7938182,1,Baner
R-0206,Phadke Dining Hall,18.5085454,73.8512373,0,Hinjewadi
R-0207,Hyderabadi Spice,18.5604276,73.809483,1,Baner
R-0208,Radhika,18.560421,73.8100382,1,Baner
R-0209,Rahul,18.5655328,73.8068155,1,Baner
R-0210,Akshay,18.569225,73.7819041,1,Baner
R-0211,Surabhi,18.5254288,73.8496605,0,Hinjewadi
R-0212,Kailas,18.5309533,73.8756088,2,Kothrud
R-0213,Shivprasad,18.5310569,73.8757443,2,Kothrud
R-0214,The Blue Plate,18.5533359,73.8067814,1,Baner
R-0215,Peshwa,18.5604086,73.8094112,1,Baner
R-0216,Saltwater,18.5626701,73.8076368,1,Baner
R-0217,Sarjaa,18.5531261,73.8092758,1,Baner
R-0218,Kobe Sizzlers,18.5549709,73.8094796,1,Baner
R-0219,Taaareef,18.5560198,73.8090143,1,Baner
R-0220,Mr. Veg,18.5599611,73.8092825,1,Baner
R-0221,Prem Resto Bar,18.5077353,73.8291342,0,Hinjewadi
R-0222,Gandharva,18.5226465,73.8490851,0,Hinjewadi
R-0223,The J,18.5147195,73.8154745,3,Viman Nagar
R-0224,Café Canada,18.5272371,73.8639446,0,Hinjewadi
R-0225,Golden Dragon,18.5027182,73.8173606,3,Viman Nagar
R-0226,Pizza Hut,18.539135,73.8985947,2,Kothrud
R-0227,Mineority,18.5460101,73.9041911,2,Kothrud
R-0228,Cream Craver,18.5459699,73.9064354,2,Kothrud
R-0229,Farzi Café,18.5436606,73.9050465,2,Kothrud
R-0230,Pizza Hut,18.5564381,73.8089408,1,Baner
R-0231,Aakash,18.5239983,73.8413832,0,Hinjewadi
R-0232,Nandu's Parathas,18.5359384,73.875879,2,Kothrud
R-0233,Maratha Moglai,18.5358201,73.8762411,2,Kothrud
R-0234,Kapila,18.5340845,73.8765697,2,Kothrud
R-0235,Cafe Pondi,18.5488623,73.9022208,2,Kothrud
R-0236,Restaurant 236,18.5197288,73.862533,0,Hinjewadi
R-0237,Restaurant 237,18.5207018,73.8648453,0,Hinjewadi
R-0238,Hotel Bhairavee,18.5522414,73.8033262,1,Baner
R-0239,Om Sai Expresso,18.5127078,73.7821851,3,Viman Nagar
R-0240,BALAJI TREATS,18.4669249,73.8146529,5,Kharadi
